id;name;city;category;description;budget;duration_hours;best_time;tags;tips;
MARRA001;Jardin Majorelle;Marrakech;culture;Un jardin botanique iconique aux couleurs bleu Majorelle, autrefois propriété d'Yves Saint Laurent.;medium;2;morning;garden,photo,famous,crowded;Arriver tôt pour éviter l’affluence.;
MARRA002;Place Jemaa el-Fna;Marrakech;culture;La place la plus célèbre du Maroc, animée jour et nuit avec charmeurs de serpents, food stalls et spectacles.;low;2;evening;market,streetfood,local,iconic;Garder vos objets de valeur sécurisés.;
MARRA003;Palais Bahia;Marrakech;culture;Un palais du XIXe siècle avec magnifiques jardins, zelliges et architecture marocaine raffinée.;low;2;morning;architecture,history,palace;Visiter tôt pour des photos sans foule.""";
MARRA004;Palais El Badi;Marrakech;histoire;Ancien palais saadien, connu pour ses ruines impressionnantes et ses cigognes.;low;1.5;afternoon;ruins,history,monument;Visiter l’après-midi pour voir les cigognes.;
MARRA005;Koutoubia Mosque;Marrakech;religion;La plus grande mosquée de Marrakech, célèbre pour son minaret du XIIe siècle.;free;0.5;morning;mosque,architecture,iconic;Ne pas entrer si vous n’êtes pas musulman.;
MARRA006;Medersa Ben Youssef;Marrakech;culture;Ancienne école coranique célèbre pour ses zelliges et sa cour spectaculaire.;medium;1.5;morning;architecture,history,medersa;Idéal pour les photos architecturales.;
MARRA007;Musée Yves Saint Laurent;Marrakech;culture;Musée dédié à l’œuvre du créateur français et à la mode.;high;1;morning;fashion,art,design;Très fréquenté : réserver à l'avance.;
MARRA008;Musée de Marrakech;Marrakech;culture;Musée installé dans un ancien palais avec exposition d'art marocain.;medium;1.5;afternoon;art,history,architecture;Prévoir de l'eau en été.;
MARRA009;Le Souk Semmarine;Marrakech;shopping;Souk central spécialisé dans tissus, vêtements traditionnels et accessoires.;low;2;afternoon;market,shopping,traditional;Négocier les prix.;
MARRA010;Le Souk des Épices;Marrakech;shopping;Souk parfumé avec épices, plantes médicinales et produits naturels.;low;1.5;morning;spices,market,smells;Demander les prix avant d’acheter.;
MARRA011;Le Souk des Bijoutiers;Marrakech;shopping;Marché d'artisans joailliers spécialisés dans l'argent marocain.;medium;1.5;afternoon;jewelry,market,handmade;Vérifier la qualité de l’argent.;
MARRA012;Le Souk des Tanneurs;Marrakech;artisanat;Ancienne tannerie traditionnelle utilisant des méthodes ancestrales.;free;1;morning;tannery,craft,traditional;Apporter un foulard : odeurs fortes.;
MARRA013;Jardin Secret;Marrakech;nature;Un jardin restauré au cœur de la médina, paisible avec architecture islamique.;medium;1.5;afternoon;garden,architecture,calm;Endroit parfait pour se reposer.;
MARRA014;Cyber Park Arsat Moulay Abdeslam;Marrakech;nature;Grand parc ombragé équipé de bornes Wi-Fi.;free;1.5;afternoon;park,nature,relax;Parfait pour une pause fraîche.;
